,word_id,token,NER_annotation,NER_nested_annotation,final_ent,capitalized,final_ent_reduced,struct_id,lemma,doc,msk
42,105415313,αὐτῆς,,,O,False,O,0,αὐτός,0543-001.xml,0
43,105415314,τυχεῖν,,,O,False,O,0,τυγχάνω,0543-001.xml,0
44,105415315,ἐκείνοις,,,O,False,O,0,ἐκεῖνος,0543-001.xml,0
45,105415316,ἐπιστροφῆς,,,O,False,O,0,ἐπιστροφή,0543-001.xml,0
46,105415317,,,,O,False,O,0,",",0543-001.xml,0
47,105415318,ἂν,,,O,False,O,0,ἐάν,0543-001.xml,0
48,105415319,μὴ,,,O,False,O,0,μή,0543-001.xml,0
49,105415320,προῶνται,,,O,False,O,0,προέομαι,0543-001.xml,0
50,105415321,τὰ,,,O,False,O,0,ὁ,0543-001.xml,0
51,105415322,τέκνα,,,O,False,O,0,τέκνον,0543-001.xml,0
52,105415323,Ῥωμαίοις,B-GRP,,B-GRP,True,MISC,0,Ῥωμαῖος,0543-001.xml,0
53,105415324,εἰς,,,O,False,O,0,εἰς,0543-001.xml,0
54,105415325,ὁμηρείαν,,,O,False,O,0,ὁμηρεία,0543-001.xml,0
55,105415326,.,,,O,False,O,0,.,0543-001.xml,0
57,114456380,Θόας,B-PER,,B-PERS,True,PERS,1,Θόας,0087-036.xml,1
58,114456381,,,,O,False,O,1,",",0087-036.xml,0
59,114456382,κύριον,,,O,False,O,1,κύριος,0087-036.xml,0
60,114456383,,,,O,False,O,1,",",0087-036.xml,0
61,114456384,καὶ,,,O,False,O,1,καί,0087-036.xml,0
62,114456385,κλίνεται,,,O,False,O,1,κλίνω,0087-036.xml,0
63,114456386,Θόαντος,B-PER,,B-PERS,True,PERS,1,Θόας,0087-036.xml,1
64,114456387,·,,,O,False,O,1,·,0087-036.xml,0
66,117901375,τὸ,,,O,False,O,2,ὁ,0559-009.xml,0
67,117901376,ἐμβαδὸν,,,O,False,O,2,ἐμβαδόν,0559-009.xml,0
68,117901377,ἔστω,,,O,False,O,2,εἰμί,0559-009.xml,0
69,117901378,ποδῶν,,,O,False,O,2,πούς,0559-009.xml,0
70,117901379,Ϛ,O,,O,False,O,2,Ϛ,0559-009.xml,0
71,117901380,.,,,O,False,O,2,.,0559-009.xml,0
73,114578751,καὶ,,,O,False,O,3,καί,0098-001.xml,0
74,114578752,πρῶτον,,,O,False,O,3,πρῶτος,0098-001.xml,0
75,114578753,ἐπὶ,,,O,False,O,3,ἐπί,0098-001.xml,0
76,114578754,Θήβας,B-LOC,,B-LOC,True,MISC,3,Θῆβαι,0098-001.xml,0
77,114578755,στρατεύει,,,O,False,O,3,στρατεύω,0098-001.xml,0
78,114578756,,,,O,False,O,3,",",0098-001.xml,0
79,114578757,ἔνθα,,,O,False,O,3,ἔνθα,0098-001.xml,0
80,114578758,τῶν,,,O,False,O,3,ὁ,0098-001.xml,0
81,114578759,ἀρίστων,,,O,False,O,3,ἀγαθός,0098-001.xml,0
82,114578760,Ἀργείων,B-GRP,,B-GRP,True,MISC,3,Ἀργεῖος,0098-001.xml,0
83,114578761,πεσόντων,,,O,False,O,3,πίπτω,0098-001.xml,0
84,114578762,μόνος,,,O,False,O,3,μόνος,0098-001.xml,0
85,114578763,διέφυγεν,,,O,False,O,3,διαφεύγω,0098-001.xml,0
86,114578764,Ἄδραστος,B-PER,,B-PERS,True,PERS,3,Ἄδραστος,0098-001.xml,1
87,114578765,.,,,O,False,O,3,.,0098-001.xml,0
89,118887092,τούτων,,,O,False,O,4,οὗτος,0638-004.xml,0
90,118887093,ἐμφορηθὲν,,,O,False,O,4,ἐμφορέω,0638-004.xml,0
91,118887094,ἐξήλασεν,,,O,False,O,4,ἐξελαύνω,0638-004.xml,0
92,118887095,ἐκ,,,O,False,O,4,ἐκ,0638-004.xml,0
93,118887096,τοῦ,,,O,False,O,4,ὁ,0638-004.xml,0
94,118887097,Ἰλίου,B-LOC,,B-LOC,True,MISC,4,Ἴλιον,0638-004.xml,0
95,118887098,,,,O,False,O,4,",",0638-004.xml,0
96,118887099,καὶ,,,O,False,O,4,καί,0638-004.xml,0
97,118887100,πρὶν,,,O,False,O,4,πρίν,0638-004.xml,0
98,118887101,ἢ,,,O,False,O,4,ἤ,0638-004.xml,0
99,118887102,δέκα,,,O,False,O,4,δέκα,0638-004.xml,0
100,118887103,πορευθῆναι,,,O,False,O,4,πορεύω,0638-004.xml,0
101,118887104,σταδίους,,,O,False,O,4,στάδιον,0638-004.xml,0
102,118887105,ποταμὸς,,,O,False,O,4,ποταμός,0638-004.xml,0
103,118887106,οὕτω,,,O,False,O,4,οὕτως,0638-004.xml,0
104,118887107,βραχύς,,,O,False,O,4,βραχύς,0638-004.xml,0
105,118887108,,,,O,False,O,4,",",0638-004.xml,0
106,118887109,ὡς,,,O,False,O,4,ὡς,0638-004.xml,0
107,118887110,μη,,,O,False,O,4,μή,0638-004.xml,0
108,118887111,-δὲ,,,O,False,O,4,δέ,0638-004.xml,0
109,118887112,ὄνομα,,,O,False,O,4,ὄνομα,0638-004.xml,0
110,118887113,αὐτοῦ,,,O,False,O,4,αὐτός,0638-004.xml,0
111,118887114,ἐν,,,O,False,O,4,ἐν,0638-004.xml,0
112,118887115,Τροίᾳ,B-LOC,,B-LOC,True,MISC,4,Τροία,0638-004.xml,0
113,118887116,εἶναι,,,O,False,O,4,εἰμί,0638-004.xml,0
114,118887117,,,,O,False,O,4,",",0638-004.xml,0
115,118887118,μέγας,,,O,False,O,4,μέγας,0638-004.xml,0
116,118887119,ἐκ,,,O,False,O,4,ἐκ,0638-004.xml,0
117,118887120,μικροῦ,,,O,False,O,4,μικρός,0638-004.xml,0
118,118887121,αἴρεται,,,O,False,O,4,ἀείρω,0638-004.xml,0
119,118887122,καὶ,,,O,False,O,4,καί,0638-004.xml,0
120,118887123,ὡς,,,O,False,O,4,ὡς,0638-004.xml,0
121,118887124,ἀπήγγελλον,,,O,False,O,4,ἀπαγγέλλω,0638-004.xml,0
122,118887125,οἱ,,,O,False,O,4,ὁ,0638-004.xml,0
123,118887126,διαφυγόντες,,,O,False,O,4,διαφεύγω,0638-004.xml,0
124,118887127,τῶν,,,O,False,O,4,ὁ,0638-004.xml,0
125,118887128,ὀπαδῶν,,,O,False,O,4,ὀπηδός,0638-004.xml,0
126,118887129,,,,O,False,O,4,",",0638-004.xml,0
127,118887130,ὁπλίτης,,,O,False,O,4,ὁπλίτης,0638-004.xml,0
128,118887131,ἡγεῖτο,,,O,False,O,4,ἡγέομαι,0638-004.xml,0
129,118887132,τοῦ,,,O,False,O,4,ὁ,0638-004.xml,0
130,118887133,ποταμοῦ,,,O,False,O,4,ποταμός,0638-004.xml,0
131,118887134,μέγας,,,O,False,O,4,μέγας,0638-004.xml,0
132,118887135,παρακελευόμενος,,,O,False,O,4,παρακελεύομαι,0638-004.xml,0
133,118887136,αὐτῷ,,,O,False,O,4,αὐτός,0638-004.xml,0
134,118887137,βαρβάρῳ,,,O,False,O,4,βάρβαρος,0638-004.xml,0
135,118887138,τῇ,,,O,False,O,4,ὁ,0638-004.xml,0
136,118887139,φωνῇ,,,O,False,O,4,φωνή,0638-004.xml,0
137,118887140,καὶ,,,O,False,O,4,καί,0638-004.xml,0
138,118887141,σφοδρᾷ,,,O,False,O,4,σφοδρός,0638-004.xml,0
139,118887142,ἐπιστρέφειν,,,O,False,O,4,ἐπιστρέφω,0638-004.xml,0
140,118887143,τὸ,,,O,False,O,4,ὁ,0638-004.xml,0
141,118887144,ὕδωρ,,,O,False,O,4,ὕδωρ,0638-004.xml,0
142,118887145,ἐς,,,O,False,O,4,εἰς,0638-004.xml,0
143,118887146,τὴν,,,O,False,O,4,ὁ,0638-004.xml,0
144,118887147,ὁδόν,,,O,False,O,4,ὁδός,0638-004.xml,0
145,118887148,,,,O,False,O,4,",",0638-004.xml,0
146,118887149,δι’,,,O,False,O,4,διά,0638-004.xml,0
147,118887150,ἧς,,,O,False,O,4,ὅς,0638-004.xml,0
148,118887151,τὸ,,,O,False,O,4,ὁ,0638-004.xml,0
149,118887152,μειράκιον,,,O,False,O,4,μειράκιον,0638-004.xml,0
150,118887153,ἤλαυνεν,,,O,False,O,4,ἐλαύνω,0638-004.xml,0
151,118887154,ἐπὶ,,,O,False,O,4,ἐπί,0638-004.xml,0
152,118887155,τεττάρων,,,O,False,O,4,τέσσαρες,0638-004.xml,0
153,118887156,ἵππων,,,O,False,O,4,ἵππος,0638-004.xml,0
154,118887157,οὐ,,,O,False,O,4,οὐ,0638-004.xml,0
155,118887158,μεγάλων,,,O,False,O,4,μέγας,0638-004.xml,0
156,118887159,,,,O,False,O,4,",",0638-004.xml,0
157,118887160,οὓς,,,O,False,O,4,ὅς,0638-004.xml,0
158,118887161,ὑπολαβὼν,,,O,False,O,4,ὑπολαμβάνω,0638-004.xml,0
159,118887162,ὁ,,,O,False,O,4,ὁ,0638-004.xml,0
160,118887163,ποταμὸς,,,O,False,O,4,ποταμός,0638-004.xml,0
161,118887164,ὁμοῦ,,,O,False,O,4,ὁμοῦ,0638-004.xml,0
162,118887165,τῷ,,,O,False,O,4,ὁ,0638-004.xml,0
163,118887166,μειρακίῳ,,,O,False,O,4,μειράκιον,0638-004.xml,0
164,118887167,βοῶντί,,,O,False,O,4,βοάω,0638-004.xml,0
165,118887168,τε,,,O,False,O,4,τε,0638-004.xml,0
166,118887169,καὶ,,,O,False,O,4,καί,0638-004.xml,0
167,118887170,ξυνιέντι,,,O,False,O,4,συνίημι,0638-004.xml,0
168,118887171,λοιπὸν,,,O,False,O,4,λοιπός,0638-004.xml,0
169,118887172,τοῦ,,,O,False,O,4,ὁ,0638-004.xml,0
170,118887173,Ἕκτορος,B-PER,,B-PERS,True,PERS,4,Ἕκτωρ,0638-004.xml,1
171,118887174,ἀπήγαγεν,,,O,False,O,4,ἀπάγω,0638-004.xml,0
172,118887175,ἐς,,,O,False,O,4,εἰς,0638-004.xml,0
173,118887176,τὰ,,,O,False,O,4,ὁ,0638-004.xml,0
174,118887177,ἑαυτοῦ,,,O,False,O,4,ἑαυτοῦ,0638-004.xml,0
175,118887178,ἤθη,,,O,False,O,4,ἦθος,0638-004.xml,0
176,118887179,καὶ,,,O,False,O,4,καί,0638-004.xml,0
177,118887180,οὕτως,,,O,False,O,4,οὕτως,0638-004.xml,0
178,118887181,ἀπώλεσεν,,,O,False,O,4,ἀπόλλυμι,0638-004.xml,0
179,118887182,,,,O,False,O,4,",",0638-004.xml,0
180,118887183,ὡς,,,O,False,O,4,ὡς,0638-004.xml,0
181,118887184,μη,,,O,False,O,4,μή,0638-004.xml,0
182,118887185,-δὲ,,,O,False,O,4,δέ,0638-004.xml,0
183,118887186,ἀνελέσθαι,,,O,False,O,4,ἀναιρέω,0638-004.xml,0
184,118887187,ξυγχωρῆσαι,,,O,False,O,4,συγχωρέω,0638-004.xml,0
185,118887188,τὸ,,,O,False,O,4,ὁ,0638-004.xml,0
186,118887189,σῶμα,,,O,False,O,4,σῶμα,0638-004.xml,0
187,118887190,,,,O,False,O,4,",",0638-004.xml,0
188,118887191,ᾤχετο,,,O,False,O,4,οἴχομαι,0638-004.xml,0
189,118887192,γὰρ,,,O,False,O,4,γάρ,0638-004.xml,0
190,118887193,οὐκ,,,O,False,O,4,οὐ,0638-004.xml,0
191,118887194,οἶδ’,,,O,False,O,4,οἶδα,0638-004.xml,0
192,118887195,ὅποι,,,O,False,O,4,ὅποι,0638-004.xml,0
193,118887196,ἀφανισθέν,,,O,False,O,4,ἀφανίζω,0638-004.xml,0
194,118887197,.,,,O,False,O,4,.,0638-004.xml,0
196,107999280,οὐκ,,,O,False,O,5,οὐ,0527-016.xml,0
197,107999281,ἐξαρθήσεταί,,,O,False,O,5,ἐξαίρω,0527-016.xml,0
198,107999282,σοι,,,O,False,O,5,σύ,0527-016.xml,0
199,107999283,ἡγούμενος,,,O,False,O,5,ἡγέομαι,0527-016.xml,0
200,107999284,ἀνὴρ,,,O,False,O,5,ἀνήρ,0527-016.xml,0
201,107999285,ἐν,,,O,False,O,5,ἐν,0527-016.xml,0
202,107999286,Ἰσραήλ,B-LOC,,B-LOC,True,MISC,5,Ἰσραήλ,0527-016.xml,0
203,107999287,.,,,O,False,O,5,.,0527-016.xml,0
256,106903833,ὁ,,,O,False,O,7,ὁ,0060-001.xml,0
257,106903834,δὲ,,,O,False,O,7,δέ,0060-001.xml,0
258,106903835,βασιλεὺς,,,O,False,O,7,βασιλεύς,0060-001.xml,0
259,106903836,ἀκολούθως,,,O,False,O,7,ἀκόλουθος,0060-001.xml,0
260,106903837,τῇ,,,O,False,O,7,ὁ,0060-001.xml,0
261,106903838,τοῦ,,,O,False,O,7,ὁ,0060-001.xml,0
262,106903839,συνεδρίου,,,O,False,O,7,συνέδριον,0060-001.xml,0
263,106903840,γνώμῃ,,,O,False,O,7,γνώμη,0060-001.xml,0
264,106903841,τὴν,,,O,False,O,7,ὁ,0060-001.xml,0
265,106903842,μὲν,,,O,False,O,7,μέν,0060-001.xml,0
266,106903843,πόλιν,,,O,False,O,7,πόλις,0060-001.xml,0
267,106903844,κατασκάψας,,,O,False,O,7,κατασκάπτω,0060-001.xml,0
268,106903845,πολὺν,,,O,False,O,7,πολύς,0060-001.xml,0
269,106903846,ἐπέστησε,,,O,False,O,7,ἐφίστημι,0060-001.xml,0
270,106903847,φόβον,,,O,False,O,7,φόβος,0060-001.xml,0
271,106903848,τοῖς,,,O,False,O,7,ὁ,0060-001.xml,0
272,106903849,ἀφισταμένοις,,,O,False,O,7,ἀφίστημι,0060-001.xml,0
273,106903850,τῶν,,,O,False,O,7,ὁ,0060-001.xml,0
274,106903851,Ἑλλήνων,B-GRP,,B-GRP,True,MISC,7,Ἕλλην,0060-001.xml,0
275,106903852,,,,O,False,O,7,",",0060-001.xml,0
276,106903853,τοὺς,,,O,False,O,7,ὁ,0060-001.xml,0
277,106903854,δ’,,,O,False,O,7,δέ,0060-001.xml,0
278,106903855,αἰχμαλώτους,,,O,False,O,7,αἰχμάλωτος,0060-001.xml,0
279,106903856,λαφυροπωλήσας,,,O,False,O,7,λαφυροπωλέω,0060-001.xml,0
280,106903857,ἤθροισεν,,,O,False,O,7,ἀθροίζω,0060-001.xml,0
281,106903858,ἀργυρίου,,,O,False,O,7,ἀργύριον,0060-001.xml,0
282,106903859,τάλαντα,,,O,False,O,7,τάλαντον,0060-001.xml,0
283,106903860,τετρακόσια,,,O,False,O,7,τετρακόσιοι,0060-001.xml,0
284,106903861,καὶ,,,O,False,O,7,καί,0060-001.xml,0
285,106903862,τεσσαράκοντα,,,O,False,O,7,τεσσαράκοντα,0060-001.xml,0
286,106903863,.,,,O,False,O,7,.,0060-001.xml,0
288,101181371,ἀσπίδι,,,O,False,O,8,ἀσπίς,0019-005.xml,0
289,101181372,μὲν,,,O,False,O,8,μέν,0019-005.xml,0
290,101181373,Σαΐων,B-GRP,,B-GRP,True,MISC,8,Σάϊος,0019-005.xml,0
291,101181374,τις,,,O,False,O,8,τις,0019-005.xml,0
292,101181375,ἀγάλλεται,,,O,False,O,8,ἀγάλλω,0019-005.xml,0
293,101181376,,,,O,False,O,8,",",0019-005.xml,0
294,101181377,ἣν,,,O,False,O,8,ὅς,0019-005.xml,0
295,101181378,παρὰ,,,O,False,O,8,παρά,0019-005.xml,0
296,101181379,θάμνῳ,,,O,False,O,8,θάμνος,0019-005.xml,0
297,101181380,ἔντος,,,O,False,O,8,ἔντεα,0019-005.xml,0
298,101181381,ἀμώμητον,,,O,False,O,8,ἀμώμητος,0019-005.xml,0
299,101181382,κάλλιπον,,,O,False,O,8,καταλείπω,0019-005.xml,0
300,101181383,οὐκ,,,O,False,O,8,οὐ,0019-005.xml,0
301,101181384,ἐθέλων,,,O,False,O,8,ἐθέλω,0019-005.xml,0
302,101181385,.,,,O,False,O,8,.,0019-005.xml,0
304,101288125,πρὶν,,,O,False,O,9,πρίν,0032-001.xml,0
305,101288126,δὲ,,,O,False,O,9,δέ,0032-001.xml,0
306,101288127,ἥκειν,,,O,False,O,9,ἥκω,0032-001.xml,0
307,101288128,αὐτὸν,,,O,False,O,9,αὐτός,0032-001.xml,0
308,101288129,οἱ,,,O,False,O,9,ὁ,0032-001.xml,0
309,101288130,Ἀθηναῖοι,B-GRP,,B-GRP,True,MISC,9,Ἀθηναῖος,0032-001.xml,0
310,101288131,στρατηγοὺς,,,O,False,O,9,στρατηγός,0032-001.xml,0
311,101288132,εἴλοντο,,,O,False,O,9,εἴλω,0032-001.xml,0
312,101288133,Ἀλκιβιάδην,B-PER,,B-PERS,True,PERS,9,Ἀλκιβιάδης,0032-001.xml,1
313,101288134,μὲν,,,O,False,O,9,μέν,0032-001.xml,0
314,101288135,φεύγοντα,,,O,False,O,9,φεύγω,0032-001.xml,0
315,101288136,καὶ,,,O,False,O,9,καί,0032-001.xml,0
316,101288137,Θρασύβουλον,B-PER,,B-PERS,True,PERS,9,Θρασύβουλος,0032-001.xml,1
317,101288138,ἀπόντα,,,O,False,O,9,ἄπειμι,0032-001.xml,0
318,101288139,,,,O,False,O,9,",",0032-001.xml,0
319,101288140,Κόνωνα,B-PER,,B-PERS,True,PERS,9,Κόνων,0032-001.xml,1
320,101288141,δὲ,,,O,False,O,9,δέ,0032-001.xml,0
321,101288142,τρίτον,,,O,False,O,9,τρίτος,0032-001.xml,0
322,101288143,ἐκ,,,O,False,O,9,ἐκ,0032-001.xml,0
323,101288144,τῶν,,,O,False,O,9,ὁ,0032-001.xml,0
324,101288145,οἴκοθεν,,,O,False,O,9,οἴκοθεν,0032-001.xml,0
325,101288146,.,,,O,False,O,9,.,0032-001.xml,0
327,100330006,οἱ,,,O,False,O,10,ὁ,0003-001.xml,0
328,100330007,δὲ,,,O,False,O,10,δέ,0003-001.xml,0
329,100330008,μετὰ,,,O,False,O,10,μετά,0003-001.xml,0
330,100330009,τοῦ,,,O,False,O,10,ὁ,0003-001.xml,0
331,100330010,Κύλωνος,B-PER,,B-PERS,True,PERS,10,Κύλων,0003-001.xml,1
332,100330011,πολιορκούμενοι,,,O,False,O,10,πολιορκέω,0003-001.xml,0
333,100330012,φλαύρως,,,O,False,O,10,φλαῦρος,0003-001.xml,0
334,100330013,εἶχον,,,O,False,O,10,ἔχω,0003-001.xml,0
335,100330014,σίτου,,,O,False,O,10,σῖτος,0003-001.xml,0
336,100330015,τε,,,O,False,O,10,τε,0003-001.xml,0
337,100330016,καὶ,,,O,False,O,10,καί,0003-001.xml,0
338,100330017,ὕδατος,,,O,False,O,10,ὕδωρ,0003-001.xml,0
339,100330018,ἀπορίᾳ,,,O,False,O,10,ἀπορία,0003-001.xml,0
340,100330019,.,,,O,False,O,10,.,0003-001.xml,0
342,123877987,ἐπὶ,,,O,False,O,11,ἐπί,2034-028.xml,0
343,123877988,δὲ,,,O,False,O,11,δέ,2034-028.xml,0
344,123877989,τῆς,,,O,False,O,11,ὁ,2034-028.xml,0
345,123877990,Σελήνης,B-PER,,B-PERS,True,PERS,11,Σελήνη,2034-028.xml,1
346,123877991,λέγουσί,,,O,False,O,11,λέγω,2034-028.xml,0
347,123877992,τινες,,,O,False,O,11,τις,2034-028.xml,0
348,123877993,ἐντὸς,,,O,False,O,11,ἐντός,2034-028.xml,0
349,123877994,τρισκαίδεκα,,,O,False,O,11,τρεισκαίδεκα,2034-028.xml,0
350,123877995,μοιρῶν,,,O,False,O,11,μοῖρα,2034-028.xml,0
351,123877996,,,,O,False,O,11,",",2034-028.xml,0
352,123877997,τουτέστιν,,,O,False,O,11,τουτέστι,2034-028.xml,0
353,123877998,ἡμερινοῦ,,,O,False,O,11,ἡμερινός,2034-028.xml,0
354,123877999,καὶ,,,O,False,O,11,καί,2034-028.xml,0
355,123878000,νυκτερινοῦ,,,O,False,O,11,νυκτερινός,2034-028.xml,0
356,123878001,δρόμου,,,O,False,O,11,δρόμος,2034-028.xml,0
357,123878002,,,,O,False,O,11,",",2034-028.xml,0
358,123878003,τὴν,,,O,False,O,11,ὁ,2034-028.xml,0
359,123878004,συναφὴν,,,O,False,O,11,συναφή,2034-028.xml,0
360,123878005,παρατηρεῖν,,,O,False,O,11,παρατηρέω,2034-028.xml,0
361,123878006,τίνι,,,O,False,O,11,τίς,2034-028.xml,0
362,123878007,συνάπτει,,,O,False,O,11,συνάπτω,2034-028.xml,0
363,123878008,.,,,O,False,O,11,.,2034-028.xml,0
365,107991671,ὁ,,,O,False,O,12,ὁ,0527-015.xml,0
366,107991672,δεύτερος,,,O,False,O,12,δεύτερος,0527-015.xml,0
367,107991673,Ἡνεία,B-PER,,B-PERS,True,PERS,12,Ἡνείας,0527-015.xml,0
368,107991674,,,,O,False,O,12,",",0527-015.xml,0
369,107991675,υἱοὶ,,,O,False,O,12,υἱός,0527-015.xml,0
370,107991676,αὐτοῦ,,,O,False,O,12,αὐτός,0527-015.xml,0
371,107991677,καὶ,,,O,False,O,12,καί,0527-015.xml,0
372,107991678,ἀδελφοὶ,,,O,False,O,12,ἀδελφός,0527-015.xml,0
373,107991679,αὐτοῦ,,,O,False,O,12,αὐτός,0527-015.xml,0
374,107991680,δεκαδύο,,,O,False,O,12,δεκαδύο,0527-015.xml,0
375,107991681,·,,,O,False,O,12,·,0527-015.xml,0
377,113672297,τὰς,,,O,False,O,13,ὁ,0074-001.xml,0
378,113672298,τριήρεις,,,O,False,O,13,τριήρης,0074-001.xml,0
379,113672299,δὲ,,,O,False,O,13,δέ,0074-001.xml,0
380,113672300,τὰς,,,O,False,O,13,ὁ,0074-001.xml,0
381,113672301,μὲν,,,O,False,O,13,μέν,0074-001.xml,0
382,113672302,ἐπιπλεῖν,,,O,False,O,13,ἐπιπλέω,0074-001.xml,0
383,113672303,κατὰ,,,O,False,O,13,κατά,0074-001.xml,0
384,113672304,τοὺς,,,O,False,O,13,ὁ,0074-001.xml,0
385,113672305,λιμένας,,,O,False,O,13,λιμήν,0074-001.xml,0
386,113672306,ἀμφοτέρους,,,O,False,O,13,ἀμφότερος,0074-001.xml,0
387,113672307,ἐκέλευσεν,,,O,False,O,13,κελεύω,0074-001.xml,0
388,113672308,,,,O,False,O,13,",",0074-001.xml,0
389,113672309,εἴ,,,O,False,O,13,εἰ,0074-001.xml,0
390,113672310,πως,,,O,False,O,13,πως,0074-001.xml,0
391,113672311,πρὸς,,,O,False,O,13,πρός,0074-001.xml,0
392,113672312,σφᾶς,,,O,False,O,13,σφεῖς,0074-001.xml,0
393,113672313,τετραμμένων,,,O,False,O,13,τρέπω,0074-001.xml,0
394,113672314,τῶν,,,O,False,O,13,ὁ,0074-001.xml,0
395,113672315,Τυρίων,B-GRP,,B-GRP,True,MISC,13,Τύριος,0074-001.xml,0
396,113672316,βιάσαιντο,,,O,False,O,13,βιάζω,0074-001.xml,0
397,113672317,τὸν,,,O,False,O,13,ὁ,0074-001.xml,0
398,113672318,ἔσπλουν,,,O,False,O,13,εἴσπλοος,0074-001.xml,0
399,113672319,·,,,O,False,O,13,·,0074-001.xml,0
401,105867597,ἐπεὶ,,,O,False,O,14,ἐπεί,1799-001.xml,0
402,105867598,γὰρ,,,O,False,O,14,γάρ,1799-001.xml,0
403,105867599,ἴση,,,O,False,O,14,ἴσος,1799-001.xml,0
404,105867600,ἐστὶν,,,O,False,O,14,εἰμί,1799-001.xml,0
405,105867601,ἡ,,,O,False,O,14,ὁ,1799-001.xml,0
406,105867602,ὑπὸ,,,O,False,O,14,ὑπό,1799-001.xml,0
407,105867603,ΕΗΒ,O,,O,True,MISC,14,ΕΗΒ,1799-001.xml,0
408,105867604,τῇ,,,O,False,O,14,ὁ,1799-001.xml,0
409,105867605,ὑπὸ,,,O,False,O,14,ὑπό,1799-001.xml,0
410,105867606,ΗΘΔ,O,,O,True,MISC,14,ΗΘΔ,1799-001.xml,0
411,105867607,,,,O,False,O,14,",",1799-001.xml,0
412,105867608,ἀλλὰ,,,O,False,O,14,ἀλλά,1799-001.xml,0
413,105867609,ἡ,,,O,False,O,14,ὁ,1799-001.xml,0
414,105867610,ὑπὸ,,,O,False,O,14,ὑπό,1799-001.xml,0
415,105867611,ΕΗΒ,O,,O,True,MISC,14,ΕΗΒ,1799-001.xml,0
416,105867612,τῇ,,,O,False,O,14,ὁ,1799-001.xml,0
417,105867613,ὑπὸ,,,O,False,O,14,ὑπό,1799-001.xml,0
418,105867614,ΑΗΘ,O,,O,True,MISC,14,ΑΗΘ,1799-001.xml,0
